0.28, 0, 0, 16.85369, 4.589843, 0, 1058.782, -1015.041, -3.231937, 0.01928791, 0.1567104, 45.66011, 2.512605, 2.25192, 34.59044
1.109999, 0.7515473, -0.06563927, 62.43277, 5.531653, -0.1810181313649894956221769352, 22411.78, -1028.893, -3.231937, 0.01928791, 0.1567104, 211.154, 2.512605, 2.217483, 36.18045
 
1.119999, 0.7609517, -0.0581238, 63.0126, 5.536395, -0.1832525489853366948122, 22864.02, -1029.071, -3.231937, 0.01928791, 0.1567104, 213.2962, 2.512605, 2.217068, 36.19961
 
1.129999, 0.7678877, -0.05051428, 63.59274, 5.541138, -0.1847881945518806616602, 23321.01, -1029.248, -3.231937, 0.01928791, 0.1567104, 215.4402, 2.512605, 2.216653, 36.21877
 
1.139999, 0.7722515, -0.04283541, 64.17304, 5.545745, -0.185627378642440538914, 23782.75, -1029.426, -3.231937, 0.01928791, 0.1567104, 217.5859, 2.512605, 2.216238, 36.23792
 
1.149999, 0.773955, -0.03511289, 64.75379, 5.550493, -0.1857767663853442290023769352, 24249.23, -1029.604, -3.231937, 0.01928791, 0.1567104, 219.7333, 2.512605, 2.215824, 36.25708
 
1.159999, 0.772918, -0.02737334, 65.33482, 5.555243, -0.1852445336713368694012, 24720.47, -1029.783, -3.231937, 0.01928791, 0.1567104, 221.8824, 2.512605, 2.215409, 36.27623
 
1.169999, 0.7690669, -0.01964416, 65.91615, 5.559997, -0.1840401005484566389214, 25196.48, -1029.961, -3.231937, 0.01928791, 0.1567104, 224.0332, 2.512605, 2.214994, 36.29539
 
1.179999, 0.7623433, -0.01195349, 66.49763, 5.564614, -0.1821758197212029363703769352, 25677.24, -1030.14, -3.231937, 0.01928791, 0.1567104, 226.1858, 2.512605, 2.214579, 36.31455
 
1.189999, 0.7527033, -0.00433006, 67.07954, 5.569375, -0.179666976550536380552, 26162.77, -1030.319, -3.231937, 0.01928791, 0.1567104, 228.3401, 2.512605, 2.214164, 36.33371
 
1.199999, 0.7401138, 0.003196973, 67.66171, 5.574136, -0.1765305448965999878719769352, 26653.07, -1030.499, -3.231937, 0.01928791, 0.1567104, 230.496, 2.512605, 2.213749, 36.35286
 
1.209999, 0.7245511, 0.01059811, 68.24414, 5.578899, -0.1727844761716851826321769352, 27148.14, -1030.678, -3.231937, 0.01928791, 0.1567104, 232.6536, 2.512605, 2.213334, 36.37202
 
1.219999, 0.7060182, 0.01784362, 68.82671, 5.583529, -0.1684516095488591985988, 27647.97, -1030.858, -3.231937, 0.01928791, 0.1567104, 234.8129, 2.512605, 2.212919, 36.39117
 
1.229999, 0.6845253, 0.0249038, 69.40978, 5.588437, -0.1635553174114572080052, 28152.58, -1031.038, -3.231937, 0.01928791, 0.1567104, 236.9738, 2.512605, 2.212504, 36.41033
 
1.239999, 0.6601045, 0.03174906, 69.9927, 5.592931, -0.1581221714044095723147769352, 28661.96, -1031.219, -3.231937, 0.01928791, 0.1567104, 239.1364, 2.512605, 2.21209, 36.42949
 
1.249999, 0.6328014, 0.0383501, 70.57628, 5.597844, -0.1521801650666870832052, 29176.12, -1031.399, -3.231937, 0.01928791, 0.1567104, 241.3006, 2.512605, 2.211675, 36.44865
 
1.259999, 0.6026834, 0.04467811, 71.15983, 5.602484, -0.1457600468569743634714, 29695.05, -1031.58, -3.231937, 0.01928791, 0.1567104, 243.4664, 2.512605, 2.21126, 36.4678
 
1.269999, 0.5698283, 0.05070495, 71.7441, 5.607542, -0.138893276180974029306, 30218.85, -1031.761, -3.231937, 0.01928791, 0.1567104, 245.6342, 2.512605, 2.210845, 36.48696
 
1.279999, 0.534346, 0.05640323, 72.33039, 5.614135, -0.131615844731651954932, 30747.66, -1031.943, -3.231937, 0.01928791, 0.1567104, 247.8046, 2.512605, 2.21043, 36.50611
 
1.289999, 0.4963482, 0.06174669, 72.91741, 5.621013, -0.1239620557027978377570, 31281.49, -1032.124, -3.231937, 0.01928791, 0.1567104, 249.9775, 2.512605, 2.210015, 36.52527
 
1.299999, 0.4559807, 0.06671017, 73.50508, 5.628035, -0.1159713666541075991514, 31820.38, -1032.306, -3.231937, 0.01928791, 0.1567104, 252.153, 2.512605, 2.2096, 36.54443
 
1.309999, 0.4134018, 0.07126998, 74.09338, 5.635203, -0.1076838572239210151018, 32364.32, -1032.488, -3.231937, 0.01928791, 0.1567104, 254.3312, 2.512605, 2.209185, 36.56359
 
1.319999, 0.3687848, 0.075404, 74.68201, 5.642239, -0.0991400513924663291778, 32913.34, -1032.67, -3.231937, 0.01928791, 0.1567104, 256.5119, 2.512605, 2.20877, 36.58274
 
1.329999, 0.322325, 0.07909185, 75.27099, 5.649141, -0.090382694849414122864, 33467.42, -1032.853, -3.231937, 0.01928791, 0.1567104, 258.6953, 2.512605, 2.208355, 36.6019
 
1.339999, 0.274233, 0.0823151, 75.86057, 5.656185, -0.08145528866564537253610, 34026.59, -1033.036, -3.231937, 0.01928791, 0.1567104, 260.8813, 2.512605, 2.20794, 36.62106
 
